Berry,Sweet,Spicy,Sour,Bitter,Fresh,Calories
Hyper Cheri Berry,0,40,0,0,0,80
Hyper Chesto Berry,0,0,0,0,40,100
Hyper Pecha Berry,40,0,0,0,0,100
Hyper Rawst Berry,0,0,0,40,0,110
Hyper Aspear Berry,0,0,40,0,0,90
Hyper Oran Berry,10,20,15,15,0,90
Hyper Persim Berry,0,15,15,10,20,110
Hyper Lum Berry,20,15,10,0,15,110
Hyper Sitrus Berry,15,10,0,20,15,120
Hyper Pomeg Berry,30,35,0,0,5,140
Hyper Kelpsy Berry,5,0,0,30,35,160
Hyper Qualot Berry,35,0,30,5,0,160
Hyper Hondew Berry,0,5,35,0,30,150
Hyper Grepa Berry,0,60,25,0,5,140
Hyper Tamato Berry,5,25,0,0,60,180
Hyper Occa Berry,60,0,0,5,25,180
Hyper Passho Berry,25,0,5,60,0,200
Hyper Wacan Berry,0,5,60,25,0,160
Hyper Rindo Berry,15,55,0,5,25,210
Hyper Yache Berry,25,0,5,15,55,250
Hyper Chople Berry,55,5,15,25,0,250
Hyper Kebia Berry,0,15,25,55,5,270
Hyper Shuca Berry,5,25,55,0,15,230
Hyper Coba Berry,10,95,0,10,5,240
Hyper Payapa Berry,5,0,10,10,95,300
Hyper Tanga Berry,95,10,10,5,0,300
Hyper Charti Berry,0,10,5,95,10,330
Hyper Kasib Berry,10,5,95,0,10,270
Hyper Haban Berry,85,0,0,0,65,370
Hyper Colbur Berry,0,0,65,0,85,370
Hyper Babiri Berry,0,0,65,85,0,400
Hyper Chilan Berry,0,85,0,65,0,370
Hyper Roseli Berry,0,65,85,0,0,340
Cheri Berry,0,10,0,0,0,60
Chesto Berry,0,0,0,0,10,60
Pecha Berry,10,0,0,0,0,60
Rawst Berry,0,0,0,10,0,60
Aspear Berry,0,0,10,0,0,60
Oran Berry,0,5,5,5,5,60
Persim Berry,5,5,5,0,5,60
Lum Berry,5,5,0,5,5,65
Sitrus Berry,5,0,5,5,5,65
Pomeg Berry,10,10,0,10,0,65
Kelpsy Berry,0,0,10,10,10,65
Qualot Berry,10,10,10,0,0,65
Hondew Berry,0,10,0,10,10,65
Grepa Berry,10,0,10,0,10,65
Tamato Berry,0,15,0,0,10,65
Occa Berry,10,15,0,0,0,70
Passho Berry,0,0,0,10,15,70
Wacan Berry,15,0,10,0,0,70
Rindo Berry,0,10,0,15,0,70
Yache Berry,0,0,15,0,10,70
Chople Berry,0,15,0,10,0,70
Kebia Berry,0,0,10,0,15,70
Shuca Berry,15,10,0,0,0,70
Coba Berry,0,0,0,15,10,70
Payapa Berry,10,0,15,0,0,70
Tanga Berry,0,20,10,0,0,70
Charti Berry,0,10,0,0,20,70
Kasib Berry,20,0,0,0,10,70
Haban Berry,10,0,0,20,0,70
Colbur Berry,0,0,20,10,0,70
Babiri Berry,0,25,0,0,10,70
Chilan Berry,10,0,0,0,25,70
Roseli Berry,25,0,0,10,0,70
